dataset,seed,method,k,train,test
CIFAR-100,4,FAIR,900,0.88114,0.8752
CIFAR-100,4,FAIR,1000,0.88232,0.8774
CIFAR-100,4,MSDA,50,0.80082,0.7944
CIFAR-100,4,MSDA,100,0.84534,0.84
CIFAR-100,4,MSDA,200,0.86704,0.8634
CIFAR-100,4,MSDA,300,0.87414,0.8698
CIFAR-100,4,MSDA,500,0.8803,0.8766
CIFAR-100,4,MSDA,700,0.88328,0.8788
CIFAR-100,4,MSDA,900,0.88192,0.8776
CIFAR-100,4,MSDA,1000,0.88236,0.8785
CIFAR-100,4,Optimized,50,0.86862,0.8614
CIFAR-100,4,Optimized,100,0.88122,0.8707
CIFAR-100,4,Optimized,200,0.88476,0.8788
CIFAR-100,4,Optimized,300,0.88694,0.8811
CIFAR-100,4,Optimized,500,0.88816,0.8833
CIFAR-100,4,Optimized,700,0.8878,0.8827
CIFAR-100,4,Optimized,900,0.88604,0.8807
CIFAR-100,4,Optimized,1000,0.8834,0.8784
CUB-200,-1,Baseline,1024,0.9164164164164165,0.8890231273731446
CUB-200,0,Simple,50,0.9030697364030698,0.8598550224370038
CUB-200,0,Simple,100,0.9164164164164165,0.8745253710735243
CUB-200,0,Simple,200,0.9209209209209209,0.8843631342768381
CUB-200,0,Simple,300,0.9225892559225892,0.8866068346565412
CUB-200,0,Simple,500,0.9235902569235902,0.8905764584052468
CUB-200,0,Simple,700,0.9209209209209209,0.890749050742147
CUB-200,0,Simple,900,0.9187520854187521,0.8912668277528478
CUB-200,0,Simple,1000,0.9170837504170838,0.8904038660683465
CUB-200,0,FAIR,50,0.9197530864197531,0.8636520538488092
CUB-200,0,FAIR,100,0.9250917584250917,0.8779772178115292
CUB-200,0,FAIR,200,0.9290957624290958,0.8872972040041422
CUB-200,0,FAIR,300,0.9260927594260927,0.8917846047635485
CUB-200,0,FAIR,500,0.9214214214214215,0.8917846047635485
CUB-200,0,FAIR,700,0.9190857524190857,0.8924749741111495
CUB-200,0,FAIR,900,0.9177510844177511,0.8919571971004487
CUB-200,0,FAIR,1000,0.9169169169169169,0.890749050742147
CUB-200,0,MSDA,50,0.8873873873873874,0.8546772523299966
CUB-200,0,MSDA,100,0.9110777444110777,0.8798757335174319
CUB-200,0,MSDA,200,0.9160827494160827,0.886434242319641
CUB-200,0,MSDA,300,0.9160827494160827,0.8897134967207456
CUB-200,0,MSDA,500,0.9165832499165832,0.8935105281325509
CUB-200,0,MSDA,700,0.9167500834167501,0.8910942354159476
CUB-200,0,MSDA,900,0.915749082415749,0.8905764584052468
CUB-200,0,MSDA,1000,0.9175842509175842,0.8910942354159476
CUB-200,0,Optimized,50,0.9502836169502836,0.8924749741111495
CUB-200,0,Optimized,100,0.9502836169502836,0.9002416292716603
CUB-200,0,Optimized,200,0.9472806139472806,0.9036934760096652
CUB-200,0,Optimized,300,0.9432766099432766,0.9012771832930618
CUB-200,0,Optimized,500,0.938938938938939,0.9017949603037625
CUB-200,0,Optimized,700,0.9325992659325992,0.8973075595443563
CUB-200,0,Optimized,900,0.9259259259259259,0.8936831204694512
CUB-200,0,Optimized,1000,0.9192525859192526,0.892129789437349
CUB-200,1,Simple,50,0.9054054054054054,0.8627890921643079
CUB-200,1,Simple,100,0.9172505839172506,0.8790127718329306
